,Unnamed: 0,index,Unnamed: 0.1,posts,Mach,LSRP12,LSRP2,NRSM,languages,clean_msg,msg_lower
30,41,90,90,"Apple farts
Every other Chinese company ever farts but at only 500",68.0,1.3,2.5,3.0,en,"Apple farts
Every other Chinese company ever farts but at only 500","apple farts
every other chinese company ever farts but at only 500"
31,42,91,91,Before you say Black mirror is just futuristic and wont happen in real life everPlease read this,68.0,1.3,2.5,3.0,en,Before you say Black mirror is just futuristic and wont happen in real life everPlease read this,before you say black mirror is just futuristic and wont happen in real life everplease read this
32,43,92,92,If this doesnt getchu then u have no soul,68.0,1.3,2.5,3.0,en,If this doesnt getchu then u have no soul,if this doesnt getchu then u have no soul
33,44,95,95,And then God saidIf you sin you will be punished with 15hrs  of class instead of the usual 50mins,68.0,1.3,2.5,3.0,en,And then God saidIf you sin you will be punished with 15hrs  of class instead of the usual 50mins,and then god saidif you sin you will be punished with 15hrs  of class instead of the usual 50mins
34,45,96,96,Brings Back College Memories,68.0,1.3,2.5,3.0,en,Brings Back College Memories,brings back college memories
35,46,97,97,Enjoying the times with food and good companyD,68.0,1.3,2.5,3.0,en,Enjoying the times with food and good companyD,enjoying the times with food and good companyd
36,47,98,98,creditsTanvir Hossain vhai,68.0,1.3,2.5,3.0,en,creditsTanvir Hossain vhai,creditstanvir hossain vhai
37,48,99,99,"Allhamdulliah
Congratulations vhai for getting chance to study MPhill in BSMMUDHis posting is now in Rajsahi Medical CollegeIve seen him study all day and night for the last 2 months 16 hours a dayCongratulations on stealing a seat amongst only 10 seats available in Bangladesh and on the first tryD",68.0,1.3,2.5,3.0,en,"Allhamdulliah
Congratulations vhai for getting chance to study MPhill in BSMMUDHis posting is now in Rajsahi Medical CollegeIve seen him study all day and night for the last 2 months 16 hours a dayCongratulations on stealing a seat amongst only 10 seats available in Bangladesh and on the first tryD","allhamdulliah
congratulations vhai for getting chance to study mphill in bsmmudhis posting is now in rajsahi medical collegeive seen him study all day and night for the last 2 months 16 hours a daycongratulations on stealing a seat amongst only 10 seats available in bangladesh and on the first tryd"
38,49,100,100,"TB
coxbazar
siblings",68.0,1.3,2.5,3.0,en,"TB
coxbazar
siblings","tb
coxbazar
siblings"
39,50,101,101,"How to get nominations for an Oscar
Make a movie about a gay black woman who falls in love with a gay White Chinese dude from Myanmar now living as a Rohinga in Bangladesh 

How to win one make the woman fight ISIS to get the green card of USA",68.0,1.3,2.5,3.0,en,"How to get nominations for an Oscar
Make a movie about a gay black woman who falls in love with a gay White Chinese dude from Myanmar now living as a Rohinga in Bangladesh 

How to win one make the woman fight ISIS to get the green card of USA","how to get nominations for an oscar
make a movie about a gay black woman who falls in love with a gay white chinese dude from myanmar now living as a rohinga in bangladesh 

how to win one make the woman fight isis to get the green card of usa"
40,51,102,102,I have never realized life could be so boring​ at homeI would rather stay at IUT and complain about why the washroom is so dirty all the time or why Buet er baranda is so big it can fit 4 beds and not oursBut at least my friends will be there,68.0,1.3,2.5,3.0,en,I have never realized life could be so boring​ at homeI would rather stay at IUT and complain about why the washroom is so dirty all the time or why Buet er baranda is so big it can fit 4 beds and not oursBut at least my friends will be there,i have never realized life could be so boring​ at homei would rather stay at iut and complain about why the washroom is so dirty all the time or why buet er baranda is so big it can fit 4 beds and not oursbut at least my friends will be there
41,53,105,105,THANK  YOU,68.0,1.3,2.5,3.0,en,THANK  YOU,thank  you
42,54,107,107,editedwithsnapseed,68.0,1.3,2.5,3.0,en,editedwithsnapseed,editedwithsnapseed
43,55,108,108,Taken with one plusEdited with Snapseed,68.0,1.3,2.5,3.0,en,Taken with one plusEdited with Snapseed,taken with one plusedited with snapseed
44,58,114,114,Teach yo self kids,68.0,1.3,2.5,3.0,en,Teach yo self kids,teach yo self kids
45,59,116,116,From SaveIUT to SavedIUT in just 12 daysHow to Be an IUTIAN 101,68.0,1.3,2.5,3.0,en,From SaveIUT to SavedIUT in just 12 daysHow to Be an IUTIAN 101,from saveiut to savediut in just 12 dayshow to be an iutian 101
46,60,117,117,So relatable it hurtsxD,68.0,1.3,2.5,3.0,en,So relatable it hurtsxD,so relatable it hurtsxd
47,61,119,119,NotOurVC,68.0,1.3,2.5,3.0,en,NotOurVC,notourvc
48,62,122,122,"Family Tour Coxs Bazar
Finally",68.0,1.3,2.5,3.0,en,"Family Tour Coxs Bazar
Finally","family tour coxs bazar
finally"
49,63,123,123,The greatest nation having the stupidest presidentIrony huh,68.0,1.3,2.5,3.0,en,The greatest nation having the stupidest presidentIrony huh,the greatest nation having the stupidest presidentirony huh
50,65,125,125,Ocean 8 having all female castboi Hollywood stop,68.0,1.3,2.5,3.0,en,Ocean 8 having all female castboi Hollywood stop,ocean 8 having all female castboi hollywood stop
51,67,127,127,From the days of  being in a nokia music express phone shazam surely grew up,68.0,1.3,2.5,3.0,en,From the days of  being in a nokia music express phone shazam surely grew up,from the days of  being in a nokia music express phone shazam surely grew up
52,68,128,128,Justice Leaguepfff,68.0,1.3,2.5,3.0,en,Justice Leaguepfff,justice leaguepfff
53,69,129,129,"Gift from ammuD
Thanks Muniruz Zaman for finding this beauty",68.0,1.3,2.5,3.0,en,"Gift from ammuD
Thanks Muniruz Zaman for finding this beauty","gift from ammud
thanks muniruz zaman for finding this beauty"
54,70,132,132,"Only one more year of this
nights like thissigh",68.0,1.3,2.5,3.0,en,"Only one more year of this
nights like thissigh","only one more year of this
nights like thissigh"
55,71,133,133,"They grow up so fast dont they
vhaikhaoan
convoloading",68.0,1.3,2.5,3.0,en,"They grow up so fast dont they
vhaikhaoan
convoloading","they grow up so fast dont they
vhaikhaoan
convoloading"
56,72,134,134,BEST MEME,68.0,1.3,2.5,3.0,en,BEST MEME,best meme
57,73,136,136,"Last WebArchitecture class of this semester
Thanks Hasan Mahmud sir for making this subject as intriguing as it really is",68.0,1.3,2.5,3.0,en,"Last WebArchitecture class of this semester
Thanks Hasan Mahmud sir for making this subject as intriguing as it really is","last webarchitecture class of this semester
thanks hasan mahmud sir for making this subject as intriguing as it really is"
58,74,137,137,"Stars of my life came to visit IUT
ICTfest2k17",68.0,1.3,2.5,3.0,en,"Stars of my life came to visit IUT
ICTfest2k17","stars of my life came to visit iut
ictfest2k17"
59,75,139,139,Thoughts and prayer guys thoughts and prayerI mean who needs gun control,68.0,1.3,2.5,3.0,en,Thoughts and prayer guys thoughts and prayerI mean who needs gun control,thoughts and prayer guys thoughts and prayeri mean who needs gun control
60,76,140,140,"Somedays you have to stop and think is it Radical Islam
or is it Radical Americanism that will be downfall of usmassshooting",68.0,1.3,2.5,3.0,en,"Somedays you have to stop and think is it Radical Islam
or is it Radical Americanism that will be downfall of usmassshooting","somedays you have to stop and think is it radical islam
or is it radical americanism that will be downfall of usmassshooting"
61,79,150,150,❤  May this doing be followed in our everyday life too,73.0,3.0,2.1,13.0,en,❤  May this doing be followed in our everyday life too,❤  may this doing be followed in our everyday life too
62,81,152,152,🤔 okay whats actually happening,73.0,3.0,2.1,13.0,en,🤔 okay whats actually happening,🤔 okay whats actually happening
63,82,153,153,Proud to be a part of IUT ❤,73.0,3.0,2.1,13.0,en,Proud to be a part of IUT ❤,proud to be a part of iut ❤
64,83,154,154,"And when we buried him beneath the willow
The angels sang a whiskey lullaby ❤",73.0,3.0,2.1,13.0,en,"And when we buried him beneath the willow
The angels sang a whiskey lullaby ❤","and when we buried him beneath the willow
the angels sang a whiskey lullaby ❤"
65,84,155,155,"Moreno killed it in the end ❤
And Blythe 😍 Well Blythe is Blythe 😌",73.0,3.0,2.1,13.0,en,"Moreno killed it in the end ❤
And Blythe 😍 Well Blythe is Blythe 😌","moreno killed it in the end ❤
and blythe 😍 well blythe is blythe 😌"
66,85,156,156,"Atif without vocal edits is bliss ❤
I can still remember the days when I used to sing along with others this song brings back those backbencher days of school 😌
Got punished for this but never learnt did that again and again
Glad that I never learnt ❤",73.0,3.0,2.1,13.0,en,"Atif without vocal edits is bliss ❤
I can still remember the days when I used to sing along with others this song brings back those backbencher days of school 😌
Got punished for this but never learnt did that again and again
Glad that I never learnt ❤","atif without vocal edits is bliss ❤
i can still remember the days when i used to sing along with others this song brings back those backbencher days of school 😌
got punished for this but never learnt did that again and again
glad that i never learnt ❤"
67,88,159,159,"Best of luck Vai
Make Bangladesh and IUT proud 3",73.0,3.0,2.1,13.0,en,"Best of luck Vai
Make Bangladesh and IUT proud 3","best of luck vai
make bangladesh and iut proud 3"
68,90,161,161,I need to get a PS4 now Im convinced 😒,73.0,3.0,2.1,13.0,en,I need to get a PS4 now Im convinced 😒,i need to get a ps4 now im convinced 😒
69,91,162,162,"No more snoozing of alarms 67 times in the morning
MidSesh 😌",73.0,3.0,2.1,13.0,en,"No more snoozing of alarms 67 times in the morning
MidSesh 😌","no more snoozing of alarms 67 times in the morning
midsesh 😌"
70,92,163,163,"From the summer to the spring
From the mountain to the air
From samaritan to sin
And its waiting on the air 😍",73.0,3.0,2.1,13.0,en,"From the summer to the spring
From the mountain to the air
From samaritan to sin
And its waiting on the air 😍","from the summer to the spring
from the mountain to the air
from samaritan to sin
and its waiting on the air 😍"
71,93,164,164,"I told you so
To make the run
To see a new dusk to come
To make the run
❤",73.0,3.0,2.1,13.0,en,"I told you so
To make the run
To see a new dusk to come
To make the run
❤","i told you so
to make the run
to see a new dusk to come
to make the run
❤"
72,94,165,165,I miss those days playing this 💔,73.0,3.0,2.1,13.0,en,I miss those days playing this 💔,i miss those days playing this 💔
73,95,166,166,"This song always lifts me up ❤
Absolute gem of a song 😌",73.0,3.0,2.1,13.0,en,"This song always lifts me up ❤
Absolute gem of a song 😌","this song always lifts me up ❤
absolute gem of a song 😌"
74,96,167,167,Even this bilai has a better relationship than me 😪,73.0,3.0,2.1,13.0,en,Even this bilai has a better relationship than me 😪,even this bilai has a better relationship than me 😪
75,97,168,168,"Cause in a sky cause in a sky full of stars
I think I saw you",73.0,3.0,2.1,13.0,en,"Cause in a sky cause in a sky full of stars
I think I saw you","cause in a sky cause in a sky full of stars
i think i saw you"
76,99,170,170,"Ever had the feeling youve been here before
Drinking down the poison the way you were taught
Ever thought from here on in your life begins
And all you knew was wrong 💔",73.0,3.0,2.1,13.0,en,"Ever had the feeling youve been here before
Drinking down the poison the way you were taught
Ever thought from here on in your life begins
And all you knew was wrong 💔","ever had the feeling youve been here before
drinking down the poison the way you were taught
ever thought from here on in your life begins
and all you knew was wrong 💔"
77,100,171,171,"Im feeling fantastic
Im feeling pretty plastic",73.0,3.0,2.1,13.0,en,"Im feeling fantastic
Im feeling pretty plastic","im feeling fantastic
im feeling pretty plastic"
78,101,172,172,Muhtasim Jawad Nafi at 3am before exams 😂,73.0,3.0,2.1,13.0,en,Muhtasim Jawad Nafi at 3am before exams 😂,muhtasim jawad nafi at 3am before exams 😂
79,102,173,173,Dont you think EXAMS are OVERRATED ,73.0,3.0,2.1,13.0,en,Dont you think EXAMS are OVERRATED ,dont you think exams are overrated 
80,106,178,178,"Okay I am convinced 😌
Muse sounds good after 4 in the morning ❤",73.0,3.0,2.1,13.0,en,"Okay I am convinced 😌
Muse sounds good after 4 in the morning ❤","okay i am convinced 😌
muse sounds good after 4 in the morning ❤"
81,107,179,179,These kinda songs are the reason I dont sleep at night because I cant resist myself hearing them one more time ❤,73.0,3.0,2.1,13.0,en,These kinda songs are the reason I dont sleep at night because I cant resist myself hearing them one more time ❤,these kinda songs are the reason i dont sleep at night because i cant resist myself hearing them one more time ❤
82,108,180,180,"Reminds me of childhood
There are some songs which will never age for me 
And this ones just 3",73.0,3.0,2.1,13.0,en,"Reminds me of childhood
There are some songs which will never age for me 
And this ones just 3","reminds me of childhood
there are some songs which will never age for me 
and this ones just 3"
83,109,181,181,I need a girl like this in my life ,73.0,3.0,2.1,13.0,en,I need a girl like this in my life ,i need a girl like this in my life 
84,110,182,182,"Snakes change their skins 😌
Hissssssssssssssss 🐍",73.0,3.0,2.1,13.0,en,"Snakes change their skins 😌
Hissssssssssssssss 🐍","snakes change their skins 😌
hissssssssssssssss 🐍"
85,111,183,183,This mans a friggin genius 😂,73.0,3.0,2.1,13.0,en,This mans a friggin genius 😂,this mans a friggin genius 😂
86,112,184,184,Yes it is 😌,73.0,3.0,2.1,13.0,en,Yes it is 😌,yes it is 😌
87,113,185,185,So I ditched them all ,73.0,3.0,2.1,13.0,en,So I ditched them all ,so i ditched them all 
88,114,186,186,"Im not here
Its not happening 💔",73.0,3.0,2.1,13.0,en,"Im not here
Its not happening 💔","im not here
its not happening 💔"
89,115,187,187,"Need to develop your patience
Attend Organizational Behaviour lecture ",73.0,3.0,2.1,13.0,en,"Need to develop your patience
Attend Organizational Behaviour lecture ","need to develop your patience
attend organizational behaviour lecture "
90,116,188,188,John Wick riding a Mustang ❤,73.0,3.0,2.1,13.0,en,John Wick riding a Mustang ❤,john wick riding a mustang ❤
91,117,189,189,You watching this Chester 💔,73.0,3.0,2.1,13.0,en,You watching this Chester 💔,you watching this chester 💔
92,118,190,190,"In a little while Ill be gone
The moments already passed
Yeah its gone",73.0,3.0,2.1,13.0,en,"In a little while Ill be gone
The moments already passed
Yeah its gone","in a little while ill be gone
the moments already passed
yeah its gone"
93,119,191,191,"Im convinced 
We need to issue license for people eligible to use smartphone and internet ",73.0,3.0,2.1,13.0,en,"Im convinced 
We need to issue license for people eligible to use smartphone and internet ","im convinced 
we need to issue license for people eligible to use smartphone and internet "
94,121,193,193,"Adulthood is like looking both ways before crossing the road and then get hit by an airplane but you know that So you decide to sleep
AGAIN ",73.0,3.0,2.1,13.0,en,"Adulthood is like looking both ways before crossing the road and then get hit by an airplane but you know that So you decide to sleep
AGAIN ","adulthood is like looking both ways before crossing the road and then get hit by an airplane but you know that so you decide to sleep
again "
95,123,195,195,"I had all and then most of you some and now none of you
Take me back to the night we met ❤",73.0,3.0,2.1,13.0,en,"I had all and then most of you some and now none of you
Take me back to the night we met ❤","i had all and then most of you some and now none of you
take me back to the night we met ❤"
96,125,197,197,"This place ❤
That cha 😌
And the view",73.0,3.0,2.1,13.0,en,"This place ❤
That cha 😌
And the view","this place ❤
that cha 😌
and the view"
97,127,200,200,😭 Im crying ❤,73.0,3.0,2.1,13.0,en,😭 Im crying ❤,😭 im crying ❤
98,129,202,202,"Okay Im not hurt 
Tries not to cry
Cries a lot",73.0,3.0,2.1,13.0,en,"Okay Im not hurt 
Tries not to cry
Cries a lot","okay im not hurt 
tries not to cry
cries a lot"
99,130,203,203,"The Dark Side of the Red Heaven
EC Fardin Farhan Khan ❤",73.0,3.0,2.1,13.0,en,"The Dark Side of the Red Heaven
EC Fardin Farhan Khan ❤","the dark side of the red heaven
ec fardin farhan khan ❤"
100,132,205,205,This place never disappoints ❤,73.0,3.0,2.1,13.0,en,This place never disappoints ❤,this place never disappoints ❤
101,133,206,206,This 😂,73.0,3.0,2.1,13.0,en,This 😂,this 😂
102,134,207,207,"Ever a song made you feel aged a little less and also made you feel something much more than the song
This song always did both with ease 
And Kailash Khers voice ❤
Conquering my mood since Class 2",73.0,3.0,2.1,13.0,en,"Ever a song made you feel aged a little less and also made you feel something much more than the song
This song always did both with ease 
And Kailash Khers voice ❤
Conquering my mood since Class 2","ever a song made you feel aged a little less and also made you feel something much more than the song
this song always did both with ease 
and kailash khers voice ❤
conquering my mood since class 2"
103,135,208,208,"A green plastic watering can
For a fake Chinese rubber plant
In the fake plastic earth ❤",73.0,3.0,2.1,13.0,en,"A green plastic watering can
For a fake Chinese rubber plant
In the fake plastic earth ❤","a green plastic watering can
for a fake chinese rubber plant
in the fake plastic earth ❤"
104,137,210,210,"Again installed this one 
Maybe 6th time 
Still this game has its charms ❤",73.0,3.0,2.1,13.0,en,"Again installed this one 
Maybe 6th time 
Still this game has its charms ❤","again installed this one 
maybe 6th time 
still this game has its charms ❤"
105,138,211,211,"Thats how Covers should be ❤
Kudos vai 😌",73.0,3.0,2.1,13.0,en,"Thats how Covers should be ❤
Kudos vai 😌","thats how covers should be ❤
kudos vai 😌"
106,139,212,212,"Relatable 
Too much relatable 😂",73.0,3.0,2.1,13.0,en,"Relatable 
Too much relatable 😂","relatable 
too much relatable 😂"
107,141,214,214,"😳
That solo in the end ❤",73.0,3.0,2.1,13.0,en,"😳
That solo in the end ❤","😳
that solo in the end ❤"
108,143,216,216,This season is going to be a long one for Real Madrid and their fans 😒,73.0,3.0,2.1,13.0,en,This season is going to be a long one for Real Madrid and their fans 😒,this season is going to be a long one for real madrid and their fans 😒
109,144,217,217,"Hey
Wait
Ive got a new complaint
Forever in debt to your priceless advice 
Nirvana 
HeartShapedBox",73.0,3.0,2.1,13.0,en,"Hey
Wait
Ive got a new complaint
Forever in debt to your priceless advice 
Nirvana 
HeartShapedBox","hey
wait
ive got a new complaint
forever in debt to your priceless advice 
nirvana 
heartshapedbox"
110,146,219,219,"Dont leave me HIGH
Dont leave me DRY
Dont leave me High
Dont leave me Dry 
3",73.0,3.0,2.1,13.0,en,"Dont leave me HIGH
Dont leave me DRY
Dont leave me High
Dont leave me Dry 
3","dont leave me high
dont leave me dry
dont leave me high
dont leave me dry 
3"
111,149,222,222,"Thats it 😌
On the spot",73.0,3.0,2.1,13.0,en,"Thats it 😌
On the spot","thats it 😌
on the spot"
112,150,223,223,Our life is nothing but the endless arrangements of learning how to gently say Fk you to people who deserve it and also people who dont,73.0,3.0,2.1,13.0,en,Our life is nothing but the endless arrangements of learning how to gently say Fk you to people who deserve it and also people who dont,our life is nothing but the endless arrangements of learning how to gently say fk you to people who deserve it and also people who dont
113,151,224,224,Real life motivation ❤,73.0,3.0,2.1,13.0,en,Real life motivation ❤,real life motivation ❤
114,153,226,226,"❤
That day was something else",73.0,3.0,2.1,13.0,en,"❤
That day was something else","❤
that day was something else"
115,154,227,227,"Life goal 101
Survive procrastination 😓",73.0,3.0,2.1,13.0,en,"Life goal 101
Survive procrastination 😓","life goal 101
survive procrastination 😓"
116,156,230,230,"GP just cut off its data service for its users
And it has started guys
Update Banglalink and Robi did the same",73.0,3.0,2.1,13.0,en,"GP just cut off its data service for its users
And it has started guys
Update Banglalink and Robi did the same","gp just cut off its data service for its users
and it has started guys
update banglalink and robi did the same"
117,157,231,231,"These kinda things push me to the limit of buying a PS4  
Just announce it for PC already",73.0,3.0,2.1,13.0,en,"These kinda things push me to the limit of buying a PS4  
Just announce it for PC already","these kinda things push me to the limit of buying a ps4  
just announce it for pc already"
118,159,233,233,"What came and distorted your sight
Saw you benighted by your fright ❤",73.0,3.0,2.1,13.0,en,"What came and distorted your sight
Saw you benighted by your fright ❤","what came and distorted your sight
saw you benighted by your fright ❤"
119,163,237,237,"Does this thing ring any bell guys
Another force is going to be deployed to stop the unstoppable ones 
Hope things dont go south 🤞",73.0,3.0,2.1,13.0,en,"Does this thing ring any bell guys
Another force is going to be deployed to stop the unstoppable ones 
Hope things dont go south 🤞","does this thing ring any bell guys
another force is going to be deployed to stop the unstoppable ones 
hope things dont go south 🤞"
120,164,238,238,"Glad this happened ❤
Otherwise Mbappe meme counts were going out of hands",73.0,3.0,2.1,13.0,en,"Glad this happened ❤
Otherwise Mbappe meme counts were going out of hands","glad this happened ❤
otherwise mbappe meme counts were going out of hands"
121,166,240,240,"Its been a long time since the tigers roared like one ❤
And now when theyre roaring watch them and appreciate 😍",73.0,3.0,2.1,13.0,en,"Its been a long time since the tigers roared like one ❤
And now when theyre roaring watch them and appreciate 😍","its been a long time since the tigers roared like one ❤
and now when theyre roaring watch them and appreciate 😍"
122,167,241,241,After a day long excitement I needed them ❤,73.0,3.0,2.1,13.0,en,After a day long excitement I needed them ❤,after a day long excitement i needed them ❤
123,168,242,242,"To all those guys who are saying
রাস্তা আটকায় ক্যান এসব করতেসে
Give a proper thought and ask yourselves are you ok with the abuse you face by the system 
If youre pussy and ignorant enough then please stay indoors because people like you deserve to be in the shithole you live in not on the streets where those brave ones ply and protest
I know everyone is facing the same problem but if you ignore this situation you indirectly support those killers cope up with this hassle if you really want a change otherwise you can always put a finger in your anus and stop bitching",73.0,3.0,2.1,13.0,en,"To all those guys who are saying
রাস্তা আটকায় ক্যান এসব করতেসে
Give a proper thought and ask yourselves are you ok with the abuse you face by the system 
If youre pussy and ignorant enough then please stay indoors because people like you deserve to be in the shithole you live in not on the streets where those brave ones ply and protest
I know everyone is facing the same problem but if you ignore this situation you indirectly support those killers cope up with this hassle if you really want a change otherwise you can always put a finger in your anus and stop bitching","to all those guys who are saying
রাস্তা আটকায় ক্যান এসব করতেসে
give a proper thought and ask yourselves are you ok with the abuse you face by the system 
if youre pussy and ignorant enough then please stay indoors because people like you deserve to be in the shithole you live in not on the streets where those brave ones ply and protest
i know everyone is facing the same problem but if you ignore this situation you indirectly support those killers cope up with this hassle if you really want a change otherwise you can always put a finger in your anus and stop bitching"
124,169,243,243,And the festivity begins ❤,73.0,3.0,2.1,13.0,en,And the festivity begins ❤,and the festivity begins ❤
125,170,244,244,"Truth begins in lies
 Dr HOUSE
Sketched it back a year and something I know I need to do it more often maybe I will ❤",73.0,3.0,2.1,13.0,en,"Truth begins in lies
 Dr HOUSE
Sketched it back a year and something I know I need to do it more often maybe I will ❤","truth begins in lies
 dr house
sketched it back a year and something i know i need to do it more often maybe i will ❤"
126,172,246,246,"There is Ailsha
There is onek boro Ailsha
Then theres me facebooking when my family is moving to a new house 3",73.0,3.0,2.1,13.0,en,"There is Ailsha
There is onek boro Ailsha
Then theres me facebooking when my family is moving to a new house 3","there is ailsha
there is onek boro ailsha
then theres me facebooking when my family is moving to a new house 3"
127,173,247,247,"Theres stupidity 
Theres too much stupidity 
And then theres me going Mymensingh on a local bus 🤔",73.0,3.0,2.1,13.0,en,"Theres stupidity 
Theres too much stupidity 
And then theres me going Mymensingh on a local bus 🤔","theres stupidity 
theres too much stupidity 
and then theres me going mymensingh on a local bus 🤔"
128,174,248,248,"Eternal silence of the sea 
Im breathing 
ALIVE ❤",73.0,3.0,2.1,13.0,en,"Eternal silence of the sea 
Im breathing 
ALIVE ❤","eternal silence of the sea 
im breathing 
alive ❤"
129,176,250,250,I used to sketch 😪,73.0,3.0,2.1,13.0,en,I used to sketch 😪,i used to sketch 😪
130,177,251,251,The never ending procedure 😓,73.0,3.0,2.1,13.0,en,The never ending procedure 😓,the never ending procedure 😓
131,178,252,252,"Ive put my trust in you
Pushed as far as I can go
For all these theres only one thing you should know ❤
ForeverChester",73.0,3.0,2.1,13.0,en,"Ive put my trust in you
Pushed as far as I can go
For all these theres only one thing you should know ❤
ForeverChester","ive put my trust in you
pushed as far as i can go
for all these theres only one thing you should know ❤
foreverchester"
